USI,Cohort,eaf.max
HG00096,HGDP + 1KG,EUR
HG00097,HGDP + 1KG,EUR
HG00099,HGDP + 1KG,EUR
HG00100,HGDP + 1KG,EUR
HG00101,HGDP + 1KG,EUR
HG00102,HGDP + 1KG,EUR
HG00103,HGDP + 1KG,EUR
HG00105,HGDP + 1KG,EUR
HG00106,HGDP + 1KG,EUR
HG00107,HGDP + 1KG,EUR
HG00108,HGDP + 1KG,EUR
HG00109,HGDP + 1KG,EUR
HG00110,HGDP + 1KG,EUR
HG00111,HGDP + 1KG,EUR
HG00112,HGDP + 1KG,EUR
HG00113,HGDP + 1KG,EUR
HG00114,HGDP + 1KG,EUR
HG00115,HGDP + 1KG,EUR
HG00116,HGDP + 1KG,EUR
HG00117,HGDP + 1KG,EUR
HG00118,HGDP + 1KG,EUR
HG00119,HGDP + 1KG,EUR
HG00121,HGDP + 1KG,EUR
HG00122,HGDP + 1KG,EUR
HG00123,HGDP + 1KG,EUR
HG00125,HGDP + 1KG,EUR
HG00126,HGDP + 1KG,EUR
HG00127,HGDP + 1KG,EUR
HG00128,HGDP + 1KG,EUR
HG00129,HGDP + 1KG,EUR
HG00130,HGDP + 1KG,EUR
HG00131,HGDP + 1KG,EUR
HG00132,HGDP + 1KG,EUR
HG00133,HGDP + 1KG,EUR
HG00136,HGDP + 1KG,EUR
HG00137,HGDP + 1KG,EUR
HG00138,HGDP + 1KG,EUR
HG00139,HGDP + 1KG,EUR
HG00140,HGDP + 1KG,EUR
HG00141,HGDP + 1KG,EUR
HG00142,HGDP + 1KG,EUR
HG00143,HGDP + 1KG,EUR
HG00145,HGDP + 1KG,EUR
HG00146,HGDP + 1KG,EUR
HG00148,HGDP + 1KG,EUR
HG00149,HGDP + 1KG,EUR
HG00150,HGDP + 1KG,EUR
HG00151,HGDP + 1KG,EUR
HG00155,HGDP + 1KG,EUR
HG00157,HGDP + 1KG,EUR
HG00158,HGDP + 1KG,EUR
HG00159,HGDP + 1KG,EUR
HG00160,HGDP + 1KG,EUR
HG00171,HGDP + 1KG,EUR
HG00173,HGDP + 1KG,EUR
HG00174,HGDP + 1KG,EUR
HG00176,HGDP + 1KG,EUR
HG00177,HGDP + 1KG,EUR
HG00178,HGDP + 1KG,EUR
HG00179,HGDP + 1KG,EUR
HG00180,HGDP + 1KG,EUR
HG00182,HGDP + 1KG,EUR
HG00183,HGDP + 1KG,EUR
HG00185,HGDP + 1KG,EUR
HG00186,HGDP + 1KG,EUR
HG00187,HGDP + 1KG,EUR
HG00188,HGDP + 1KG,EUR
HG00189,HGDP + 1KG,EUR
HG00190,HGDP + 1KG,EUR
HG00231,HGDP + 1KG,EUR
HG00232,HGDP + 1KG,EUR
HG00233,HGDP + 1KG,EUR
HG00234,HGDP + 1KG,EUR
HG00235,HGDP + 1KG,EUR
HG00236,HGDP + 1KG,EUR
HG00237,HGDP + 1KG,EUR
HG00239,HGDP + 1KG,EUR
HG00240,HGDP + 1KG,EUR
HG00242,HGDP + 1KG,EUR
HG00243,HGDP + 1KG,EUR
HG00244,HGDP + 1KG,EUR
HG00245,HGDP + 1KG,EUR
HG00246,HGDP + 1KG,EUR
HG00250,HGDP + 1KG,EUR
HG00251,HGDP + 1KG,EUR
HG00252,HGDP + 1KG,EUR
HG00253,HGDP + 1KG,EUR
HG00254,HGDP + 1KG,EUR
HG00255,HGDP + 1KG,EUR
HG00256,HGDP + 1KG,EUR
HG00257,HGDP + 1KG,EUR
HG00258,HGDP + 1KG,EUR
HG00259,HGDP + 1KG,EUR
HG00260,HGDP + 1KG,EUR
HG00261,HGDP + 1KG,EUR
HG00262,HGDP + 1KG,EUR
HG00263,HGDP + 1KG,EUR
HG00264,HGDP + 1KG,EUR
HG00265,HGDP + 1KG,EUR
HG00266,HGDP + 1KG,EUR
HG00267,HGDP + 1KG,EUR
HG00268,HGDP + 1KG,EUR
HG00269,HGDP + 1KG,EUR
HG00271,HGDP + 1KG,EUR
HG00272,HGDP + 1KG,EUR
HG00273,HGDP + 1KG,EUR
HG00274,HGDP + 1KG,EUR
HG00275,HGDP + 1KG,EUR
HG00276,HGDP + 1KG,EUR
HG00277,HGDP + 1KG,EUR
HG00278,HGDP + 1KG,EUR
HG00280,HGDP + 1KG,EUR
HG00281,HGDP + 1KG,EUR
HG00282,HGDP + 1KG,EUR
HG00284,HGDP + 1KG,EUR
HG00285,HGDP + 1KG,EUR
HG00288,HGDP + 1KG,EUR
HG00290,HGDP + 1KG,EUR
HG00304,HGDP + 1KG,EUR
HG00306,HGDP + 1KG,EUR
HG00308,HGDP + 1KG,EUR
HG00309,HGDP + 1KG,EUR
HG00310,HGDP + 1KG,EUR
HG00311,HGDP + 1KG,EUR
HG00313,HGDP + 1KG,EUR
HG00315,HGDP + 1KG,EUR
HG00318,HGDP + 1KG,EUR
HG00319,HGDP + 1KG,EUR
HG00320,HGDP + 1KG,EUR
HG00321,HGDP + 1KG,EUR
HG00323,HGDP + 1KG,EUR
HG00324,HGDP + 1KG,EUR
HG00325,HGDP + 1KG,EUR
HG00326,HGDP + 1KG,EUR
HG00327,HGDP + 1KG,EUR
