Category,gene,canonical,lof.oe_ci.upper
Established (AD),ETV6,TRUE,0.44
Established (AD),RUNX1,TRUE,0.633
Established (AD),CEBPA,TRUE,1.372
Established (AD),GATA2,TRUE,0.335
Established (AD),SRP72,TRUE,0.58
Established (AD),ACD,TRUE,0.921
Established (AD),PARN,TRUE,0.918
Established (AD),RTEL1,TRUE,0.661
Established (AD),TERT,TRUE,0.593
Established (AD),TINF2,TRUE,0.688
Established (AD),BRCA2,TRUE,0.803
Established (AD),BRCA1,TRUE,0.885
Established (AD),RAD51C,TRUE,1.139
Established (AD),TP53,TRUE,0.449
Established (AD),EPCAM,TRUE,1.341
Established (AD),MSH2,TRUE,0.672
Established (AD),MSH6,TRUE,0.841
Established (AD),PMS2,TRUE,0.898
Established (AD),RBBP6,TRUE,0.212
Established (AD),DDX1,TRUE,0.33
Established (AD),NF1,TRUE,0.449
Established (AD),SPRED1,TRUE,0.496
Established (AD),PTPN11,TRUE,0.156
Established (AD),KRAS,TRUE,0.264
Established (AD),SOS1,TRUE,0.288
Established (AD),CBL,TRUE,0.622
Established (AD),RPS19,TRUE,0.239
Established (AD),RPS17,TRUE,0.17
Established (AD),RPS24,TRUE,0.182
Established (AD),RPL35A,TRUE,0.202
Established (AD),RPL5,TRUE,0.096
Established (AD),RPL11,TRUE,0.342
Established (AD),RPS7,TRUE,0.317
Established (AD),RPS26,TRUE,0.32
Established (AD),RPS10,TRUE,0.265
Established (AD),BRAF,TRUE,0.237
Established (AD),MAP2K1,TRUE,0.515
Established (AD),MRAS,TRUE,0.444
Established (AD),NRAS,TRUE,0.55
Established (AD),RIT1,TRUE,0.523
Established (AD),RRAS2,TRUE,1.246
Established (AD),SOS2,TRUE,0.415
Established (AD),ATM,TRUE,0.847
Established (AR),CTC1,TRUE,0.776
Established (AR),NHP2,TRUE,1.123
Established (AR),NOP10,TRUE,1.215
Established (AR),WRAP53,TRUE,0.645
Established (AR),FANCA,TRUE,1.344
Established (AR),FANCC,TRUE,1.022
Established (AR),FANCD2,TRUE,0.777
Established (AR),FANCE,TRUE,0.957
Established (AR),FANCG,TRUE,1.05
Established (AR),FANCI,TRUE,0.959
Established (AR),FANCL,TRUE,1.444
Established (AR),FANCM,TRUE,0.754
Established (AR),MLH1,TRUE,0.639
Established (AR),HAX1,TRUE,1.132
Established (AR),GFI1,TRUE,0.715
Candidate,ADA,TRUE,1.184
Candidate,SH2B3,TRUE,1.35
Candidate,MEF2B,TRUE,0.778
Candidate,IGLL5,TRUE,1.922
Candidate,UBA2,TRUE,0.258
Candidate,CDH11,TRUE,0.249
Candidate,RAD50,TRUE,0.889
Candidate,CDK4,TRUE,0.61
Candidate,CDKN1A,TRUE,1.492
Candidate,CDKN1B,TRUE,0.804
Candidate,CDKN1C,TRUE,1.943
Candidate,CDKN2A,TRUE,0.791
Candidate,SF3A1,TRUE,0.227
Candidate,CDKN2C,TRUE,0.94
Candidate,TCIRG1,TRUE,1.222
Candidate,IKZF1,TRUE,0.32
Candidate,KLF2,TRUE,1.119
Candidate,NDRG1,TRUE,0.724
Candidate,MAD2L2,TRUE,0.806
Candidate,HOXB13,TRUE,1.273
Candidate,NXF1,TRUE,0.606
Candidate,SEC23B,TRUE,1.008
Candidate,PRPF8,TRUE,0.26
Candidate,KLF1,TRUE,1.777
Candidate,CTCF,TRUE,0.205
Candidate,GNA13,TRUE,0.262
Candidate,CTSC,TRUE,1.051
Candidate,CHD2,TRUE,0.174
Candidate,CHD4,TRUE,0.192
Candidate,ADAMTS13,TRUE,0.917
Candidate,WIF1,TRUE,0.924
Candidate,CHEK2,TRUE,1.399
Candidate,RPL35,TRUE,0.391
Candidate,HPS5,TRUE,0.797
Candidate,SP140,TRUE,0.745
Candidate,LYST,TRUE,0.505
Candidate,VPS45,TRUE,0.629
Candidate,U2AF2,TRUE,0.209
Candidate,MYSM1,TRUE,0.578
Candidate,ADD3,TRUE,0.395
Candidate,TPP1,TRUE,0.78
Candidate,LRIG3,TRUE,0.805
Candidate,CCR4,TRUE,0.809
Candidate,DIS3L2,TRUE,0.468
Candidate,KLF6,TRUE,0.108
Candidate,DNAJC21,TRUE,1.083
Candidate,CREBBP,TRUE,0.101
Candidate,CSF1R,TRUE,0.485
Candidate,CSF3R,TRUE,0.726
Candidate,CDAN1,TRUE,0.908
Candidate,CTLA4,TRUE,0.211
Candidate,CUX1,TRUE,0.277
Candidate,CYLD,TRUE,0.325
Candidate,VPS13B,TRUE,0.708
Candidate,DAXX,TRUE,0.524
Candidate,DDB2,TRUE,0.719
Candidate,RNF168,TRUE,1.406
Candidate,DHX15,TRUE,0.156
Candidate,ZNF384,TRUE,0.312
Candidate,ASXL1,TRUE,0.918
Candidate,DNAH5,TRUE,0.764
Candidate,DNAH9,TRUE,0.775
Candidate,DNM2,TRUE,0.239
Candidate,DNMT1,TRUE,0.15
Candidate,DNMT3A,TRUE,1.998
Candidate,DTX1,TRUE,0.74
Candidate,EBF1,TRUE,0.264
Candidate,EGFR,TRUE,0.475
Candidate,ARID2,TRUE,0.224
Candidate,ELANE,TRUE,1.245
Candidate,KLHDC8B,TRUE,1.016
Candidate,FLCN,TRUE,0.487
Candidate,UNC13D,TRUE,0.923
Candidate,EP300,TRUE,0.164
Candidate,AK2,TRUE,0.954
Candidate,EPOR,TRUE,0.787
Candidate,ERBB2,TRUE,0.518
Candidate,ERBB4,TRUE,0.357
Candidate,ERCC1,TRUE,1.306
Candidate,ERCC2,TRUE,1.089
Candidate,AKT1,TRUE,0.474
Candidate,ERCC3,TRUE,0.797
Candidate,ERCC4,TRUE,0.984
Candidate,ERCC5,TRUE,0.766
Candidate,ERG,TRUE,0.234
Candidate,MECOM,TRUE,0.161
Candidate,EXT1,TRUE,0.339
Candidate,EXT2,TRUE,0.775
Candidate,EZH2,TRUE,0.272
Candidate,SAMD9L,TRUE,0.876
Candidate,FAT1,TRUE,0.571
Candidate,FGFR1,TRUE,0.274
Candidate,FGFR3,TRUE,0.458
Candidate,FGFR2,TRUE,0.278
Candidate,FH,TRUE,0.599
Candidate,FHIT,TRUE,1.57
Candidate,IKZF3,TRUE,0.244
Candidate,ANKRD26,TRUE,0.728
Candidate,DIS3,TRUE,1.076
Candidate,SHANK2,TRUE,0.417
