Gene,Inheritance
ANKRD26,AD
ETV6,AD
RUNX1,AD
CEBPA,AD
GATA2,AD
SRP72,AD
ACD,AD
CTC1,AR
DKC1,XLR
NHP2,AR
NOP10,AR
PARN,AD/AR
RTEL1,AD/AR
TERC,AD
TERT,AD
TINF2,AD
WRAP53,AR
FANCA,AR
FANCB,XLR
FANCC,AR
BRCA2,AD
FANCD2,AR
FANCE,AR
FANCF,AR
FANCG,AR
FANCI,AR
FANCJ,AR
FANCL,AR
FANCM,AR
FANCN,AR
BRCA1,AD
BRCA2,AD
RAD51C,AD
RAD51C,AD
TP53,AD
EPCAM,AD
MLH1,AR
MSH2,AD/AR
MSH6,AD/AR
PMS2,AD
ATG2B,AD
RBBP6,AD
CEBPA,AD
DDX1,AD
RUNX1,AD
ANKRD26,AD
ETV6,AD
GATA2,AD
SRP72,AD
SAMD9,AD
SAMD9L,AD
NF1,AD
SPRED1,AD
PTPN11,AD
KRAS,AD
RAF1,AD
SOS 1,AD
CBL,AD
RPS19,AD
RPS17,AD
RPS24,AD
RPL35A,AD
RPL5,AD
RPL11,AD
RPS7,AD
RPS26,AD
RPS10,AD
GATA1,XLR
ELA2,AR
HAX1,AR
GFI1,AR
BRAF,AD
MAP2K1,AD
MRAS,AD
NRAS,AD
RASA2,AD
RIT1,AD
RRAS2,AD
SOS 2,AD
